status,phoneName,phoneBrand,processorName,processorBrand,processorSeries,antutuScore,category,plottedPrice,plottedPriceType,source,id
"missing_price","iQOO 15 Ultra","iQOO","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","2592706","android_ai_phone","","","","iqoo-15-ultra-iqoo-snapdragon-8-elite-gen-5-android-ai-phone"
"missing_price","HONOR WIN","HONOR","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","2548606","android_ai_phone","","","","honor-win-honor-snapdragon-8-elite-gen-5-android-ai-phone"
"missing_price","realme GT8 Pro","realme","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","2468551","android_ai_phone","","","","realme-gt8-pro-realme-snapdragon-8-elite-gen-5-android-ai-phone"
"missing_price","Generic Qualcomm Snapdragon8 Elite Gen5","Generic","Snapdragon 8 Elite","Snapdragon","flagship","2449060","harvested","","","","generic-qualcomm-snapdragon8-elite-gen5-generic-snapdragon-8-elite-harvested"
"missing_price","Lenovo Yoga Pad Pro","Lenovo","Snapdragon 8 Gen 3","Snapdragon","flagship","2440457","android_lite","","","","lenovo-yoga-pad-pro-lenovo-snapdragon-8-gen-3-android-lite"
"missing_price","REDMI K90 Pro Max","Xiaomi","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","2431648","android_ai_phone","","","","redmi-k90-pro-max-xiaomi-snapdragon-8-elite-gen-5-android-ai-phone"
"missing_price","nubia Pad Pro","Nubia","Snapdragon 8 Gen 3","Snapdragon","flagship","2429818","android_lite","","","","nubia-pad-pro-nubia-snapdragon-8-gen-3-android-lite"
"missing_price","Legion Pad Y700 2025","Legion","Snapdragon 8 Gen 3","Snapdragon","flagship","2357954","android_lite","","","","legion-pad-y700-2025-legion-snapdragon-8-gen-3-android-lite"
"missing_price","Generic MediaTek Dimensity9500","Generic","Dimensity 9500","MediaTek","flagship","2319961","harvested","","","","generic-mediatek-dimensity9500-generic-dimensity-9500-harvested"
"missing_price","Lenovo Xiaoxin Pad Pro GT 11.1","Lenovo","Snapdragon 8 Gen 3","Snapdragon","flagship","2314769","android_lite","","","","lenovo-xiaoxin-pad-pro-gt-11-1-lenovo-snapdragon-8-gen-3-android-lite"
"missing_price","OnePlus Pad2","OnePlus","Snapdragon 8 Gen 3","Snapdragon","flagship","2205780","android_lite","","","","oneplus-pad2-oneplus-snapdragon-8-gen-3-android-lite"
"missing_price","Poco F7 Pro","POCO","Snapdragon 8 Gen 3","Snapdragon","flagship","2187151","android","","","","poco-f7-pro-poco-snapdragon-8-gen-3-android"
"missing_price","HONOR 400 Pro","HONOR","Snapdragon 8 Gen 3","Snapdragon","flagship","2169327","android","","","","honor-400-pro-honor-snapdragon-8-gen-3-android"
"missing_price","Mi 14T Pro","Xiaomi","Dimensity 9300","MediaTek","flagship","2152076","android","","","","mi-14t-pro-xiaomi-dimensity-9300-android"
"missing_price","Generic Qualcomm Snapdragon8 Elite","Generic","Snapdragon 8 Elite","Snapdragon","flagship","1990417","harvested","","","","generic-qualcomm-snapdragon8-elite-generic-snapdragon-8-elite-harvested"
"missing_price","Poco X8 Pro","POCO","Dimensity 8500","MediaTek","premium","1980087","android","","","","poco-x8-pro-poco-dimensity-8500-android"
"missing_price","HONOR WIN RT","HONOR","Snapdragon 8 Elite","Snapdragon","flagship","1955134","android_ai_phone","","","","honor-win-rt-honor-snapdragon-8-elite-android-ai-phone"
"missing_price","Generic Qualcomm Snapdragon8 Gen 5","Generic","Snapdragon 8 Gen 5","Snapdragon","flagship","1933243","harvested","","","","generic-qualcomm-snapdragon8-gen-5-generic-snapdragon-8-gen-5-harvested"
"missing_price","Mi Pad 7 Pro","Xiaomi","Snapdragon 8s Gen 3","Snapdragon","flagship","1856347","android_lite","","","","mi-pad-7-pro-xiaomi-snapdragon-8s-gen-3-android-lite"
"missing_price","Generic MediaTek Dimensity9500s","Generic","Dimensity 9500s","MediaTek","flagship","1852350","harvested","","","","generic-mediatek-dimensity9500s-generic-dimensity-9500s-harvested"
"missing_price","iPad mini 7","Apple","A17 Pro","Other","other","1814572","ios","","","","ipad-mini-7-apple-a17-pro-ios"
"missing_price","HONOR MagicPad2","HONOR","Snapdragon 8s Gen 3","Snapdragon","flagship","1808752","android_lite","","","","honor-magicpad2-honor-snapdragon-8s-gen-3-android-lite"
"missing_price","Generic MediaTek Dimensity9400+","Generic","Dimensity 9400+","MediaTek","flagship","1797423","harvested","","","","generic-mediatek-dimensity9400-plus-generic-dimensity-9400-plus-harvested"
"missing_price","Generic MediaTek Dimensity9400","Generic","Dimensity 9400","MediaTek","flagship","1788839","harvested","","","","generic-mediatek-dimensity9400-generic-dimensity-9400-harvested"
"missing_price","realme Neo8","realme","Snapdragon 8 Gen 5","Snapdragon","flagship","1774040","android_ai_phone","","","","realme-neo8-realme-snapdragon-8-gen-5-android-ai-phone"
"missing_price","Mi Pad 6S Pro 12.4","Xiaomi","Snapdragon 8 Gen 2","Snapdragon","flagship","1761129","android_lite","","","","mi-pad-6s-pro-12-4-xiaomi-snapdragon-8-gen-2-android-lite"
"missing_price","Poco F6 Pro","POCO","Snapdragon 8 Gen 2","Snapdragon","flagship","1752814","android","","","","poco-f6-pro-poco-snapdragon-8-gen-2-android"
"missing_price","iQOO Z9 Turbo","iQOO","Snapdragon 8s Gen 3","Snapdragon","flagship","1743871","android","","","","iqoo-z9-turbo-iqoo-snapdragon-8s-gen-3-android"
"missing_price","OnePlus Nord 5","OnePlus","Snapdragon 8s Gen 3","Snapdragon","flagship","1741255","android","","","","oneplus-nord-5-oneplus-snapdragon-8s-gen-3-android"
"missing_price","Redmi Turbo 3","Xiaomi","Snapdragon 8s Gen 3","Snapdragon","flagship","1731454","android","","","","redmi-turbo-3-xiaomi-snapdragon-8s-gen-3-android"
"missing_price","Poco F6","POCO","Snapdragon 8s Gen 3","Snapdragon","flagship","1720884","android","","","","poco-f6-poco-snapdragon-8s-gen-3-android"
"missing_price","Galaxy Tab S9+ WiFi","Samsung","Snapdragon 8 Gen 2","Snapdragon","flagship","1715502","android_lite","","","","galaxy-tab-s9-plus-wifi-samsung-snapdragon-8-gen-2-android-lite"
"missing_price","Galaxy Tab S9 WiFi","Samsung","Snapdragon 8 Gen 2","Snapdragon","flagship","1708755","android_lite","","","","galaxy-tab-s9-wifi-samsung-snapdragon-8-gen-2-android-lite"
"missing_price","Poco Pad X1","POCO","Snapdragon 7+ Gen 3","Snapdragon","premium","1705605","android_lite","","","","poco-pad-x1-poco-snapdragon-7-plus-gen-3-android-lite"
"missing_price","iQOO Neo 10R","iQOO","Snapdragon 8s Gen 3","Snapdragon","flagship","1703527","android","","","","iqoo-neo-10r-iqoo-snapdragon-8s-gen-3-android"
"missing_price","iPad 11","Apple","A16","Other","other","1693765","ios","","","","ipad-11-apple-a16-ios"
"missing_price","TECNO POVA 7 Ultra 5G","TECNO","Dimensity 8350","MediaTek","premium","1693450","android","","","","tecno-pova-7-ultra-5g-tecno-dimensity-8350-android"
"missing_price","Mi Pad 7","Xiaomi","Snapdragon 7+ Gen 3","Snapdragon","premium","1661166","android_lite","","","","mi-pad-7-xiaomi-snapdragon-7-plus-gen-3-android-lite"
"missing_price","Galaxy S23","Samsung","Snapdragon 8 Gen 2","Snapdragon","flagship","1656561","android","","","","galaxy-s23-samsung-snapdragon-8-gen-2-android"
"missing_price","Mi 17 Pro Max","Xiaomi","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","1635181","android_ai_phone","","","","mi-17-pro-max-xiaomi-snapdragon-8-elite-gen-5-android-ai-phone"
"missing_price","iPhone 16e","Apple","A18","Other","other","1624259","ios","","","","iphone-16e-apple-a18-ios"
"missing_price","Infinix GT 30 Pro","Infinix","Dimensity 8350","MediaTek","premium","1592839","android","","","","infinix-gt-30-pro-infinix-dimensity-8350-android"
"missing_price","Mi 14 Ultra","Xiaomi","Snapdragon 8 Gen 3","Snapdragon","flagship","1588908","android_ai_phone","","","","mi-14-ultra-xiaomi-snapdragon-8-gen-3-android-ai-phone"
"missing_price","Samsung Galaxy S24 Ultra","Samsung","Snapdragon 8 Gen 3","Snapdragon","flagship","1588816","android_ai_phone","","","","samsung-galaxy-s24-ultra-samsung-snapdragon-8-gen-3-android-ai-phone"
"missing_price","Redmi K70 Pro","Xiaomi","Snapdragon 8 Gen 3","Snapdragon","flagship","1586331","android_ai_phone","","","","redmi-k70-pro-xiaomi-snapdragon-8-gen-3-android-ai-phone"
"missing_price","iPhone 15 Plus","Apple","A16","Other","other","1561917","ios","","","","iphone-15-plus-apple-a16-ios"
"missing_price","iPhone 15","Apple","A16","Other","other","1559009","ios","","","","iphone-15-apple-a16-ios"
